feature,VIF
p2_team_avg_hp,inf
ko_advantage,inf
team_hp_sum_advantage,inf
team_hp_advantage,inf
p2_team_sum_hp,inf
p1_team_sum_hp,inf
p1_team_avg_hp,inf
p1_ko_count,inf
p2_ko_count,inf
p1_pokemon_left,inf
p2_pokemon_left,inf
p1_off_vs_p2_def_ratio,8.838412326612318
p2_lead_base_atk,7.125811749248292
p2_lead_base_spd,5.055632064332259
lead_spe_advantage,4.060385849084059
p2_lead_base_hp,2.4584797770219966
p1_team_mean_def,2.3652228688506205
p1_team_mean_hp,2.193612364797066
p2_critical_status_turns,1.779831920924317
p1_critical_status_turns,1.7423520608916385
p1_team_mean_spd,1.7006433323064107
p1_major_status_turns,1.4099722760220483
p2_major_status_turns,1.3658751564260985
p2_hits_p1_not_effective,1.2695435902937615
p1_stab_count,1.2585960559003606
p2_hits_p1_super_effective,1.0757059539611136
p2_lead_level,1.0026576801335525
type_matchup_diff,
speed_x_type_adv,
