feature,VIF
p2_ko_count,inf
p1_pokemon_left,inf
p2_pokemon_left,inf
p1_ko_count,inf
team_hp_sum_advantage,inf
team_hp_advantage,inf
p2_team_sum_hp,inf
p1_team_sum_hp,inf
p2_team_avg_hp,inf
p1_team_avg_hp,inf
ko_advantage,inf
defensive_core_adv,inf
tauros_adv,inf
p1_def_core,inf
p2_def_core,inf
snorlax_adv,inf
big_three_adv,inf
chansey_adv,inf
defense_boost_advantage,19.548741814296452
offense_boost_advantage,19.433518901473345
p1_off_vs_p2_def_ratio,9.56041321894013
p2_lead_base_atk,7.579496968058751
p2_lead_base_spd,5.341588707274581
lead_spe_advantage,5.311052188995906
p1_team_mean_hp,5.009600282833184
lead_spe_diff,3.620475707035763
first_move_advantage,2.7962330254513734
p1_team_mean_def,2.69284053588704
p2_lead_base_hp,2.5765185010361793
p2_critical_status_turns,1.8662222450483132
p1_critical_status_turns,1.827799438052026
p1_team_mean_spd,1.8180387187857832
dynamic_first_move_ratio,1.5362631511660039
p1_major_status_turns,1.4467017633980148
p2_hits_p1_not_effective,1.4283432484121068
p2_major_status_turns,1.4023273350794618
p1_stab_count,1.3074581424957923
trap_turn_advantage,1.2634752298521374
p2_hits_p1_super_effective,1.2307523653263512
trade_turn_adv,1.1916589027163051
recovery_turn_adv,1.1807904441681856
speed_boost_advantage,1.0776972528358628
p2_lead_level,1.0041761881202378
type_matchup_diff,
speed_x_type_adv,
