feature,VIF
p2_lead_base_spe,inf
p2_lead_base_spd,inf
p2_lead_base_spa,inf
p1_team_mean_spa,inf
p1_team_mean_spd,inf
p1_ko_count,inf
p1_team_mean_spe,inf
ko_advantage,inf
p2_ko_count,inf
p2_switch_count,inf
p1_switch_count,inf
snorlax_adv,inf
chansey_adv,inf
big_three_adv,inf
tauros_adv,inf
p1_def_core,inf
defensive_core_adv,inf
switch_advantage,inf
lead_spe_diff,inf
lead_diff_offense,inf
lead_diff_defense,inf
lead_team_mean_spe_adv,inf
lead_diff_spe,inf
lead_diff_def,inf
lead_diff_spa,inf
lead_diff_spd,inf
lead_diff_atk,inf
p1_team_off_vs_p2_lead_def_ratio,149.32284117459554
p2_lead_base_def,86.46262818714719
p1_team_mean_hp,30.29373366581954
defense_boost_advantage,19.67789170891082
offense_boost_advantage,19.536958543783207
p2_lead_base_atk,18.216071124830027
p1_team_mean_atk,15.259914252777001
hp_total_loss_advantage,8.885362336474795
p1_team_mean_def,6.7346154040107695
lead_diff_hp,6.666961617625041
hp_trend_slope,5.923249796078847
p2_lead_base_hp,5.893906114917444
hp_momentum_advantage,5.5338350266593626
damage_pressure_advantage,5.293307843558133
healthy_pokemon_advantage,3.410449588021795
first_move_advantage,3.254756735314621
trade_turn_adv,2.3403394549428675
p2_critical_status_turns,2.2401421482270663
p1_critical_status_turns,2.0637063115137004
trade_success_adv,2.0314726756649835
p2_major_status_turns,1.4328225225762814
p1_major_status_turns,1.4110427770573992
p1_critical_status_success_rate,1.3463489148134293
p2_critical_status_success_rate,1.32990664349342
recovery_turn_adv,1.322900852393786
dynamic_first_move_ratio,1.291471981559678
expected_damage_ratio_turn_1,1.2687452826777192
trap_turn_advantage,1.2686252029442338
p1_stab_count,1.2404331750039277
p2_hits_p1_super_effective,1.212837095601768
p2_hits_p1_not_effective,1.1825317834463918
speed_boost_advantage,1.0765165899279137
type_matchup_diff,
p2_def_core,
