feature,VIF
hp_total_loss_advantage,8.736387038887093
lead_diff_defense,7.751937958479638
lead_diff_offense,7.441734216711954
hp_trend_slope,5.886047695507035
hp_momentum_advantage,5.514859876824183
damage_pressure_advantage,5.185425220562807
defensive_core_adv,3.294624330472249
p1_team_mean_hp,3.2311210706058966
healthy_pokemon_advantage,3.0674659084966485
ko_advantage,2.786772733641165
p2_critical_status_turns,2.1340316112795734
p1_critical_status_turns,1.9638499820605249
switch_advantage,1.4891365845222333
p2_major_status_turns,1.3553445682002492
p1_critical_status_success_rate,1.3331125500088257
p2_critical_status_success_rate,1.3198377132716848
p1_major_status_turns,1.3158787773851923
recovery_turn_adv,1.294920492015394
lead_diff_spe,1.2036127810185036
p1_stab_count,1.1819092165850014
trap_turn_advantage,1.129012562081599
p2_hits_p1_super_effective,1.1267046495750415
p2_hits_p1_not_effective,1.1130557745908802
expected_damage_ratio_turn_1,1.1002007797018518
tauros_adv,1.0356557263952313
trade_success_adv,1.0275043434284594
